[all run data],[step],sheep_population,wolf_population
,0,100,50
,1,102,49
,2,105,48
,3,106,50
,4,109,51
,5,109,54
,6,112,53
,7,116,52
,8,119,56
,9,120,55
,10,123,52
,11,126,46
,12,132,48
,13,137,49
,14,139,48
,15,138,44
,16,142,44
,17,149,43
,18,155,45
,19,157,45
,20,165,44
,21,172,39
,22,178,37
,23,181,38
,24,181,41
,25,185,38
,26,189,37
,27,189,37
,28,193,37
,29,196,41
,30,198,41
,31,206,42
,32,211,43
,33,214,43
,34,224,40
,35,230,41
,36,233,42
,37,237,44
,38,241,43
,39,247,43
,40,256,43
,41,263,43
,42,280,46
,43,286,44
,44,297,43
,45,312,44
,46,317,44
,47,328,44
,48,340,44
,49,347,42
,50,361,43
,51,371,46
,52,378,47
,53,384,50
,54,389,50
,55,401,55
,56,402,58
,57,409,59
,58,419,62
,59,423,63
,60,432,61
,61,443,63
,62,451,64
,63,459,61
,64,467,63
,65,472,69
,66,475,72
,67,489,76
,68,499,82
,69,504,87
,70,509,90
,71,516,94
,72,529,95
,73,538,99
,74,543,107
,75,554,117
,76,561,125
,77,551,127
,78,553,130
,79,555,136
,80,548,146
,81,554,150
,82,545,154
,83,553,164
,84,548,169
,85,546,174
,86,543,180
,87,529,187
,88,517,195
,89,512,208
,90,504,219
,91,486,228
,92,480,238
,93,460,248
,94,435,260
,95,412,271
,96,404,285
,97,378,301
,98,362,317
,99,338,335
,100,312,346
,101,285,361
,102,263,377
,103,247,396
,104,237,405
,105,223,427
,106,200,437
,107,179,452
,108,159,459
,109,143,463
,110,131,478
,111,115,493
,112,99,512
,113,88,524
,114,70,528
,115,65,517
,116,53,528
,117,45,525
,118,42,554
,119,34,551
,120,32,557
,121,25,562
,122,22,562
,123,21,554
,124,12,543
,125,10,554
,126,10,538
,127,9,542
,128,8,542
,129,6,513
,130,8,480
,131,8,458
,132,9,444
,133,9,426
,134,7,415
,135,5,409
,136,4,391
,137,3,373
,138,2,355
,139,2,353
,140,2,343
,141,2,325
,142,2,310
,143,2,287
,144,2,270
,145,1,249
,146,1,232
,147,1,214
,148,1,205
,149,1,196
,150,1,175
,151,1,168
